"1,افا"
"1,هذي"
"1,اخرتها"
"1,نردد"
"1,نشيد"
"1,الاتحاد"
"1,؟"
"1,طول"
"1,عمرنا"
"1,نهايط"
"1,ونقول"
"1,الهلال"
"1,مايهمه"
"1,أحد"
"1,وفوق"
"1,الجميع"
"1,والحين"
"1,ندور"
"1,الفزعة"
"1,من"
"1,فريق"
"2,إلهي"
"2,إليك"
"2,المشتكى"
"2,اشكو"
"2,لك"
"2,ضعفي"
"2,وقلة"
"2,حيلتي"
"3,وصرت"
"3,خاايف"
"3,لاتجيني"
"3,لحظه"
"3,يذبل"
"3,فيها"
"3,قلبي"
"4,بس"
"4,انا"
"4,بحبها"
"5,في"
"5,محاضرة"
"5,انشاء"
"5,رسمة"
"5,ليا"
"5,ساعة"
"5,نخربش"
"5,فيها"
"5,مابتش"
"5,تجي"
"5,درت"
"5,بقياسات"
"5,درت"
"5,سكتش"
"5,بيدي"
"5,ماصار"
"5,شي"
"5,وحتتسلم"
"5,نهاية"
"5,المحاضرة"
"6,حلييل"
"6,ايام"
"6,كتمة"
"6,العربي"
"6,و"
"6,الجري"
"6,في"
"6,الزقاقات"
"7,ا"
"7,ا"
"7,،"
"7,عندما"
"7,تكون"
"7,الصورة"
"7,أبلغ"
"7,من"
"7,كل"
"7,أبجديات"
"7,اللغة"
"7,السلام"
"7,لروحك"
"7,ميسرة"
"7,،"
"7,والصبر"
"7,لقلب"
"7,أمك"
"7,المسكينة"
"7,،"
"8,إنما"
"8,الدنيا"
"8,شقاء"
"8,وهم"
"8,فكم"
"8,نسعى"
"8,لها"
"8,وكم"
"8,وكم"
"8,فكل"
"8,الحياة"
"8,شقاء"
"8,بسم"
"8,تسقيك"
"8,كاس"
"8,العنا"
"8,وألم"
"8,صباح"
"8,الخير"
"9,الفديو"
"9,الجديد"
"9,نزل"
"9,على"
"9,اليوتيوب"
"9,كامل"
"10,شخصيتك"
"10,عبارة"
"10,عن"
"10,ايموجيز"
"10,وربي"
"10,انتي"
"10,الي"
"10,تفشلين"
"10,والله"
"11,سنوات"
"11,والله"
"11,الايام"
"11,تركض"
"11,و"
"11,فعلا"
"11,كانت"
"11,حلقة"
"11,أسطورية"
"12,عنده"
"12,اختبار"
"12,رياضيات"
"12,وماقدر"
"12,يحفظ"
"12,المعادلات"
"12,البكيريه"
"13,وكيل"
"13,الشيطان"
"13,قطر"
"13,لماذا"
"13,الدوحه"
"13,و"
"13,في"
"13,عهد"
"13,تنظيم"
"13,الحمدين"
"13,دعمها"
"13,للمعاض"
"13,السعودي"
"13,الاماراتي"
"13,الموريتاني"
"13,الليبي"
"13,الصومالي"
"13,ا"
"14,ما"
"14,اسمح"
"14,يكون"
"14,في"
"14,احد"
"14,اقرب"
"14,لك"
"14,مني"
"14,وصعب"
"14,تفهميني"
"15,أم"
"15,چاسب"
"15,تگول"
"15,مايريدله"
"15,وحده"
"15,تهلهل"
"15,من"
"15,ينزل"
"15,الدروب"
"15,المگاريد"
"16,الله"
"16,لايحط"
"16,الاتحاديين"
"16,مكانك"
"16,بسم"
"16,الله"
